leagueTag,regionTag,year,leagueTitle,matchIdx
k5,경남,2025,K5리그 경남 디비전,0AC20B00F61BE2A1318F913A68C94FAD
k5,부산,2025,K5리그 부산 디비전,9F8FD6C5EB20CAEB5B5D06FA7EAFA5EF
k6,경남,2025,K6리그 경남 서부권역 디비전,2E0A868428ED22B37B53390A0BF6A5D5
k6,경남,2025,K6리그 경남 동부권역 디비전,2A01BCFABB6AA51CBDC54B0A98BB04D5
k6,경남,2025,K6리그 경남 동부권역 디비전,2A01BCFABB6AA51CBDC54B0A98BB04D5
k6,부산,2025,K6리그 부산 디비전,72624AB53FA9FA7488812D82F98042C9
k7,경남,2025,K7리그 창원 디비전,274F20CA45399C1A8324BFA2047D8F15
k7,경남,2025,K7리그 사천/함안 디비전,84B6AA650B16D3184EE09309689104A5
k7,경남,2025,K7리그 거제 디비전,C3DB22B43900F85BCBE8972405043A50
k7,경남,2025,K7리그 진주 디비전,7AADA7C586D5C44D844BB06BE844904F
k7,경남,2025,K7리그 거창 디비전,2BB1935B50F7EFAD8101C803CE466401
k7,경남,2025,K7리그 김해B 디비전,5FA1047FB784F0F2084CA34098C39772
k7,경남,2025,K7리그 김해A 디비전,972E2D8C530C303C2E336E44A993727D
k7,경남,2025,K7리그 남해 디비전,3548AA75BFBFFFA4AC0A78A3CAFEDFE0
k7,경남,2025,K7리그 양산B 디비전,43249D03F14F33B008F9FA3471CA4ABE
k7,경남,2025,K7리그 양산A 디비전,9FFBEF8F646065FF3FDF4BFA332D534E
k1,,2025,K리그1,6203FE403481541BE5CC1180EB1BD3C5
k2,,2025,K리그2,9A8456135B860DB71623EADB498371A3
